time-1,time-2,time-3,time-4,time-5,time-6
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
[28  2 15],[28  2 30],[28  2 45],[28  2 60],[28  3 15],[28  3 30]
